Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.923632899,7.455480395,7.878880664,13.59012467,20.49767835,28.63416768,36.12735761,36.83253,20.21292547,,,28.62757918,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069498649,0.171682995,0.260101671,0.279331947,,,,,,,0.96921362,1.319728371,5.324614058,4.300301394,1.348135207,1.251708092,0.864961359,0.797348295,1.084888575,0.887905669,0.854933852,,,,,0.474800501,,
Angola,AGO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0485781,,,,,19.54239358,28.14015799,,38.67588336,29.03777614,21.39987187,16.44079889,14.26984939,12.67912511,28.54288995,,
United Arab Emirates,ARE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.088773772,18.45719357,22.54868489,25.95277676,9.233404667,4.158261808,4.667539624,,34.78932641,15.55553763,13.39659214,11.31051457,5.954781364,6.998090737,10.73308907,,
Argentina,ARG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,0.160471276,0.224181965,0.536561734,0.225224908,0.132056077,3.366262763,0.516862545,0.566505103,2.397580844,6.879397011,21.02060045,43.82691112,12.36421487,11.50230709,13.04608702,8.718719712,4.183854573,3.217983577,2.479374983,1.195826971,2.296088636,2.764185112,2.645590648,1.456841205,1.685038581,0.923115975,0.453659664,0.600714181,0.462939244,0.267799853,0.405291324,0.669273861,0.453942538,0.782151174,1.024314303,0.870998512,0.666286721,0.565934858,,
Armenia,ARM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,1.203457021,1.275469453,1.34390757,0.745200293,1.486534339,3.299251924,4.402761545,2.536379425,5.266001714,5.223487149,8.449564075,12.41865226,30.34429839,17.34636859,14.52252091,12.90412764,14.01101768,12.9194855,21.37580908,30.8511963,26.67202942,36.11982875,34.48049986,38.91507726,51.02201241,51.23493511,63.36978177,73.51043699,90.15061991,88.65427027,88.06609945,114.7679802,160.6137615,79.51179424,90.60243516,98.47219079,80.68076303,58.51877596,49.95120718,47.90187366,55.52992933,65.83220667,63.51519188,54.13783879,59.81524137,92.16635819,,
Austria,AUT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.167252438,0.223463811,0.143561763,0.136981314,0.123347761,0.128322441,0.118675182,0.102560091,0.183857641,0.166800654,1.155450742,1.207235762,1.114397484,1.492169639,19.69077149,34.645066,4.422392102,2.438797255,3.459480859,4.310285473,5.393670182,4.357580045,5.672992262,8.272884591,5.437363702,4.899274342,3.702969686,3.035189275,4.589031671,8.600776117,13.70743408,24.67294639,33.18088836,22.71422297,12.82106782,12.45009155,8.985220814,5.774168329,6.166572813,6.488984486,8.307682432,6.707928524,9.583181481,8.666506921,7.530413738,9.143701288,,
Azerbaijan,AZE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,BDI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,0.8770187,0.929495019,0.748431564,0.714098574,0.907884497,0.609109971,0.593163268,1.123155,1.508942458,1.730819595,2.563399208,4.000423692,5.388086688,5.075813614,5.171760662,3.548350449,3.211727662,3.309798666,4.697528322,5.305488774,5.275989569,7.835704762,11.26480135,22.80635852,19.57913859,16.29450952,15.95620513,14.7717309,13.00149687,20.34187357,27.61696736,33.12926143,49.17367274,36.86546013,25.501843,22.31271302,19.72949193,20.34159915,22.098282,20.03170024,,,,,,,,
